timestamp,product_id,demand,supply,location
2023-01-01 00:00:00,74,20,34,Factory
2023-01-01 01:00:00,5,22,22,Store
2023-01-01 02:00:00,19,19,22,Factory
2023-01-01 03:00:00,33,26,24,Warehouse
2023-01-01 04:00:00,34,7,19,Store
2023-01-01 05:00:00,70,26,14,Warehouse
2023-01-01 06:00:00,36,26,21,Warehouse
2023-01-01 07:00:00,85,19,15,Warehouse
2023-01-01 08:00:00,74,20,25,Factory
2023-01-01 09:00:00,32,20,25,Store
2023-01-01 10:00:00,32,20,27,Store
2023-01-01 11:00:00,24,12,23,Store
2023-01-01 12:00:00,51,20,22,Factory
2023-01-01 13:00:00,26,20,24,Store
2023-01-01 14:00:00,13,22,23,Warehouse
2023-01-01 15:00:00,88,21,20,Warehouse
2023-01-01 16:00:00,10,9,21,Store
2023-01-01 17:00:00,67,21,23,Factory
2023-01-01 18:00:00,6,18,29,Store
2023-01-01 19:00:00,94,15,35,Factory
2023-01-01 20:00:00,72,11,28,Factory
2023-01-01 21:00:00,89,21,22,Warehouse
2023-01-01 22:00:00,58,13,25,Store
2023-01-01 23:00:00,21,23,22,Factory
2023-01-02 00:00:00,41,20,30,Warehouse
2023-01-02 01:00:00,86,15,18,Store
2023-01-02 02:00:00,45,18,16,Factory
2023-01-02 03:00:00,41,20,18,Factory
2023-01-02 04:00:00,10,9,15,Warehouse
2023-01-02 05:00:00,31,16,17,Store
2023-01-02 06:00:00,62,21,19,Store
2023-01-02 07:00:00,96,28,30,Store
2023-01-02 08:00:00,15,15,21,Warehouse
2023-01-02 09:00:00,18,21,23,Warehouse
2023-01-02 10:00:00,43,22,18,Factory
2023-01-02 11:00:00,91,17,22,Store
2023-01-02 12:00:00,19,19,24,Warehouse
2023-01-02 13:00:00,2,23,28,Warehouse
2023-01-02 14:00:00,69,20,18,Store
2023-01-02 15:00:00,16,19,23,Store
2023-01-02 16:00:00,64,19,26,Warehouse
2023-01-02 17:00:00,69,16,30,Warehouse
2023-01-02 18:00:00,4,11,20,Warehouse
2023-01-02 19:00:00,98,12,19,Store
2023-01-02 20:00:00,2,27,20,Store
2023-01-02 21:00:00,44,17,20,Warehouse
2023-01-02 22:00:00,3,18,25,Warehouse
2023-01-02 23:00:00,67,22,21,Factory
2023-01-03 00:00:00,83,16,21,Warehouse
2023-01-03 01:00:00,72,10,37,Warehouse
2023-01-03 02:00:00,45,17,27,Warehouse
2023-01-03 03:00:00,61,22,24,Warehouse
2023-01-03 04:00:00,25,22,31,Warehouse
2023-01-03 05:00:00,51,23,24,Warehouse
2023-01-03 06:00:00,24,19,19,Store
2023-01-03 07:00:00,8,21,23,Warehouse
2023-01-03 08:00:00,97,30,24,Warehouse
2023-01-03 09:00:00,46,25,17,Store
2023-01-03 10:00:00,97,20,18,Store
2023-01-03 11:00:00,66,17,17,Warehouse
2023-01-03 12:00:00,47,15,25,Warehouse
2023-01-03 13:00:00,15,22,22,Factory
2023-01-03 14:00:00,14,18,21,Factory
2023-01-03 15:00:00,20,16,24,Factory
2023-01-03 16:00:00,90,19,22,Warehouse
2023-01-03 17:00:00,35,18,25,Warehouse
2023-01-03 18:00:00,85,14,23,Store
2023-01-03 19:00:00,54,19,20,Warehouse
2023-01-03 20:00:00,8,27,12,Factory
2023-01-03 21:00:00,96,7,20,Store
2023-01-03 22:00:00,10,25,20,Warehouse
2023-01-03 23:00:00,81,15,27,Store
2023-01-04 00:00:00,9,19,23,Warehouse
2023-01-04 01:00:00,94,15,22,Store
2023-01-04 02:00:00,52,18,23,Factory
2023-01-04 03:00:00,45,15,21,Factory
2023-01-04 04:00:00,20,22,22,Factory
2023-01-04 05:00:00,70,22,21,Store
2023-01-04 06:00:00,7,20,23,Store
2023-01-04 07:00:00,54,16,24,Warehouse
2023-01-04 08:00:00,4,19,30,Store
2023-01-04 09:00:00,12,19,24,Store
2023-01-04 10:00:00,3,13,25,Warehouse
2023-01-04 11:00:00,16,13,15,Warehouse
2023-01-04 12:00:00,42,18,27,Warehouse
2023-01-04 13:00:00,30,18,24,Factory
2023-01-04 14:00:00,76,14,18,Factory
2023-01-04 15:00:00,25,25,16,Factory
2023-01-04 16:00:00,89,20,24,Warehouse
2023-01-04 17:00:00,90,27,24,Warehouse
2023-01-04 18:00:00,25,18,20,Warehouse
2023-01-04 19:00:00,70,14,17,Store
2023-01-04 20:00:00,2,19,24,Factory
2023-01-04 21:00:00,37,25,26,Store
2023-01-04 22:00:00,91,18,18,Store
2023-01-04 23:00:00,52,20,28,Factory
2023-01-05 00:00:00,60,16,13,Factory
2023-01-05 01:00:00,90,19,20,Warehouse
2023-01-05 02:00:00,31,16,19,Warehouse
2023-01-05 03:00:00,50,22,22,Factory
2023-01-05 04:00:00,84,28,22,Factory
2023-01-05 05:00:00,27,20,12,Factory
2023-01-05 06:00:00,35,16,31,Store
2023-01-05 07:00:00,77,24,21,Warehouse
2023-01-05 08:00:00,99,21,21,Warehouse
2023-01-05 09:00:00,58,25,17,Store
2023-01-05 10:00:00,52,18,23,Store
2023-01-05 11:00:00,32,18,18,Factory
2023-01-05 12:00:00,36,19,21,Warehouse
2023-01-05 13:00:00,5,22,14,Warehouse
2023-01-05 14:00:00,7,17,22,Warehouse
2023-01-05 15:00:00,97,30,28,Factory
2023-01-05 16:00:00,29,21,24,Store
2023-01-05 17:00:00,18,13,26,Store
2023-01-05 18:00:00,93,23,20,Factory
2023-01-05 19:00:00,22,17,30,Store
2023-01-05 20:00:00,44,19,25,Store
2023-01-05 21:00:00,85,18,20,Store
2023-01-05 22:00:00,42,17,23,Warehouse
2023-01-05 23:00:00,59,15,26,Factory
2023-01-06 00:00:00,77,23,18,Factory
2023-01-06 01:00:00,11,22,20,Warehouse
2023-01-06 02:00:00,55,24,11,Warehouse
2023-01-06 03:00:00,11,23,31,Factory
2023-01-06 04:00:00,67,25,24,Factory
2023-01-06 05:00:00,77,15,17,Factory
2023-01-06 06:00:00,23,19,22,Factory
2023-01-06 07:00:00,74,26,24,Factory
2023-01-06 08:00:00,55,22,32,Factory
2023-01-06 09:00:00,12,21,19,Warehouse
2023-01-06 10:00:00,54,23,20,Factory
2023-01-06 11:00:00,68,14,20,Store
2023-01-06 12:00:00,52,15,21,Factory
2023-01-06 13:00:00,69,24,15,Factory
2023-01-06 14:00:00,39,14,30,Store
2023-01-06 15:00:00,69,21,20,Factory
2023-01-06 16:00:00,56,19,19,Warehouse
2023-01-06 17:00:00,89,26,22,Factory
2023-01-06 18:00:00,87,20,21,Warehouse
2023-01-06 19:00:00,35,27,22,Factory
2023-01-06 20:00:00,53,24,24,Warehouse
2023-01-06 21:00:00,73,19,23,Store
2023-01-06 22:00:00,96,23,27,Factory
2023-01-06 23:00:00,94,15,22,Store
2023-01-07 00:00:00,49,21,15,Factory
2023-01-07 01:00:00,80,28,20,Warehouse
2023-01-07 02:00:00,70,22,18,Store
2023-01-07 03:00:00,21,20,19,Store
2023-01-07 04:00:00,16,16,25,Factory
2023-01-07 05:00:00,91,11,20,Warehouse
2023-01-07 06:00:00,85,17,24,Store
2023-01-07 07:00:00,53,16,24,Warehouse
2023-01-07 08:00:00,59,27,25,Warehouse
2023-01-07 09:00:00,90,29,33,Warehouse
2023-01-07 10:00:00,23,26,20,Factory
2023-01-07 11:00:00,86,23,25,Store
2023-01-07 12:00:00,54,19,22,Store
2023-01-07 13:00:00,29,21,23,Warehouse
2023-01-07 14:00:00,61,14,26,Factory
2023-01-07 15:00:00,32,21,28,Store
2023-01-07 16:00:00,73,23,18,Warehouse
2023-01-07 17:00:00,29,28,19,Factory
2023-01-07 18:00:00,74,17,30,Store
2023-01-07 19:00:00,9,14,16,Factory
2023-01-07 20:00:00,17,30,16,Store
2023-01-07 21:00:00,19,18,30,Factory
2023-01-07 22:00:00,57,23,27,Warehouse
2023-01-07 23:00:00,89,21,23,Store
